City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
361,Prieska,ZA,-29.6641,22.7474,52.12,38,0,5.97,clear sky
362,Dutse,NG,11.7594,9.3392,87.21,20,95,3.91,overcast clouds
363,Najran,SA,17.4924,44.1277,73.44,47,55,10.65,broken clouds
364,Byron Bay,AU,-28.65,153.6167,64.71,67,97,11.99,overcast clouds
365,Tiarei,PF,-17.5333,-149.3333,86.02,70,46,5.77,light rain
366,Yulara,AU,-25.2406,130.9889,60.6,83,5,6.42,clear sky
367,Villa Bruzual,VE,9.3328,-69.1208,87.67,46,98,5.37,overcast clouds
368,La Ronge,CA,55.1001,-105.2842,33.39,70,97,9.53,overcast clouds
369,Tommot,RU,58.9564,126.2925,28.81,78,100,0.65,overcast clouds
370,Lompoc,US,34.6391,-120.4579,82.69,63,0,21.99,clear sky
371,Tieling,CN,42.2931,123.8414,60.39,65,40,8.28,scattered clouds
372,Yuryevets,RU,57.3201,43.1041,43.18,81,100,5.97,overcast clouds
373,Chuy,UY,-33.6971,-53.4616,63.55,63,3,11.72,light rain
374,Muravlenko,RU,63.7898,74.523,11.26,95,100,3.94,overcast clouds
375,Ifanadiana,MG,-21.3,47.6333,64.22,99,97,0.89,overcast clouds
376,Sur,OM,22.5667,59.5289,84.94,41,0,9.37,clear sky
377,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,79,17,18.3,few clouds
378,Kachiry,KZ,53.0675,76.1036,31.71,51,55,6.11,broken clouds
379,Pacific Grove,US,36.6177,-121.9166,74.55,76,0,10.0,clear sky
380,San Patricio,US,28.017,-97.5169,84.29,66,22,19.73,few clouds
381,Tual,ID,-5.6667,132.75,83.84,66,99,2.48,overcast clouds
382,Rocha,UY,-34.4833,-54.3333,65.14,44,1,11.81,clear sky
383,Kroya,ID,-7.6331,109.2461,77.81,89,100,1.63,overcast clouds
384,Akyab,MM,20.15,92.9,80.51,85,19,1.99,few clouds
385,Quatre Cocos,MU,-20.2078,57.7625,74.08,69,100,16.64,overcast clouds
386,Bukachacha,RU,52.9833,116.9167,30.11,41,40,4.23,scattered clouds
387,Antequera,ES,37.0194,-4.5612,55.94,74,100,2.89,overcast clouds
388,Zabaykalsk,RU,49.6333,117.3167,36.16,27,100,8.14,overcast clouds
389,Soria,ES,41.6667,-2.6667,39.85,100,52,0.81,broken clouds
390,Taltal,CL,-25.4,-70.4833,63.03,84,11,4.05,few clouds
391,Magadan,RU,59.5667,150.8,34.54,69,65,6.35,broken clouds
392,Babina,IN,25.25,78.4667,85.53,12,0,3.8,clear sky
393,Deputatskiy,RU,69.3,139.9,8.74,93,100,3.02,overcast clouds
394,Seymchan,RU,62.8833,152.4333,26.01,75,97,9.04,overcast clouds
395,Kharp,RU,66.8014,65.8081,8.42,84,29,6.06,scattered clouds
396,Sioux Lookout,CA,50.1001,-91.917,34.39,100,100,7.09,overcast clouds
397,Shwebo,MM,22.5667,95.7,84.51,36,5,4.34,clear sky
398,Atar,MR,20.5169,-13.0499,79.86,28,1,8.21,clear sky
399,Port Macquarie,AU,-31.4333,152.9167,61.9,67,96,5.82,overcast clouds
400,Vardo,NO,70.3705,31.1107,35.51,86,100,7.94,overcast clouds
401,Volchikha,RU,52.0333,80.3833,28.36,61,70,5.66,broken clouds
402,Hodmezovasarhely,HU,46.4167,20.3333,53.19,85,80,4.05,light rain
403,Okha,RU,53.5739,142.9478,30.24,79,100,9.24,overcast clouds
404,Milkovo,RU,54.7167,158.6167,34.0,97,100,2.89,overcast clouds
405,Kondinskoye,RU,59.6481,67.41,29.14,93,42,5.14,scattered clouds
406,Lamu,KE,-2.2717,40.902,81.52,79,80,8.55,broken clouds
407,Inhambane,MZ,-23.865,35.3833,74.1,88,0,5.12,clear sky
408,Calamar,CO,10.2511,-74.9146,82.44,74,90,6.51,overcast clouds
409,Kumluca,TR,36.3703,30.2869,68.23,44,0,4.0,clear sky
410,Abrau-Dyurso,RU,44.69,37.59,44.06,65,2,4.79,clear sky
