City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Hithadhoo,MV,2022-04-20 20:17:27,-0.6,73.0833,83.08,70,96,3.8
59,Valle De Allende,MX,2022-04-20 20:17:28,26.9333,-105.4,86.76,9,92,7.16
60,Ventersburg,ZA,2022-04-20 20:17:28,-28.0856,27.1381,56.88,45,0,2.06
61,Puerto Baquerizo Moreno,EC,2022-04-20 20:17:29,-0.9,-89.6,79.79,74,20,16.11
62,Port Alfred,ZA,2022-04-20 20:17:30,-33.5906,26.891,71.28,75,9,11.41
63,Pisco,PE,2022-04-20 20:17:31,-13.7,-76.2167,75.25,60,0,21.85
64,Griffith,US,2022-04-20 20:17:31,41.5284,-87.4237,50.31,80,100,13.8
65,Kirovsk,UA,2022-04-20 20:17:32,48.6375,38.6428,43.57,70,12,8.21
66,Hobart,AU,2022-04-20 20:17:33,-42.8794,147.3294,48.06,74,20,13.8
67,Cabo San Lucas,MX,2022-04-20 20:17:33,22.8909,-109.9124,78.06,68,0,7.0
68,Alofi,NU,2022-04-20 20:17:34,-19.0595,-169.9187,80.49,89,75,5.75
69,Heihe,CN,2022-04-20 20:17:34,50.2441,127.4902,32.58,74,96,11.86
70,Brae,GB,2022-04-20 20:17:35,60.3964,-1.353,45.72,84,100,9.51
71,Manzhouli,CN,2022-04-20 20:17:36,49.6,117.4333,31.03,39,35,7.96
72,Arraial Do Cabo,BR,2022-04-20 20:16:58,-22.9661,-42.0278,75.16,78,0,10.36
73,Zielona Gora,PL,2022-04-20 20:17:37,51.9355,15.5064,45.37,42,100,3.47
74,Castro,BR,2022-04-20 20:17:38,-24.7911,-50.0119,69.57,64,0,2.62
75,Ribeira Grande,PT,2022-04-20 20:17:38,38.5167,-28.7,61.2,67,75,4.61
76,Whitehorse,CA,2022-04-20 20:14:49,60.7161,-135.0538,37.02,78,100,11.01
77,Preobrazhenka,UA,2022-04-20 20:17:40,47.5719,35.8167,41.5,79,14,10.18
78,Moindou,NC,2022-04-20 20:17:40,-21.6924,165.677,73.53,80,33,4.9
79,Souillac,MU,2022-04-20 20:17:41,-20.5167,57.5167,75.58,94,40,5.75
80,Nikolskoye,RU,2022-04-20 20:17:41,59.7035,30.7861,48.09,95,19,8.66
81,Curitibanos,BR,2022-04-20 20:17:42,-27.2828,-50.5844,67.1,60,2,2.08
82,Amazar,RU,2022-04-20 20:17:43,53.858,120.875,26.76,71,100,2.21
83,Airai,TL,2022-04-20 20:17:43,-8.9266,125.4092,58.71,90,92,2.3
84,Hambantota,LK,2022-04-20 20:17:44,6.1241,81.1185,79.56,85,5,4.07
85,Tecoanapa,MX,2022-04-20 20:17:44,16.5167,-98.75,88.03,50,0,13.22
86,Butaritari,KI,2022-04-20 20:15:46,3.0707,172.7902,80.74,81,85,14.79
87,Kamenka,RU,2022-04-20 20:17:46,51.3223,42.7678,51.26,88,89,14.09
88,Lebu,CL,2022-04-20 20:17:46,-37.6167,-73.65,55.83,65,1,9.82
89,Beya,RU,2022-04-20 20:18:47,53.0533,90.9139,35.85,91,99,4.63
90,Poronaysk,RU,2022-04-20 20:18:47,49.2167,143.1167,43.65,76,100,9.95
91,Novaya Zaimka,RU,2022-04-20 20:18:48,56.4857,66.9241,39.58,93,95,7.0
92,Beisfjord,NO,2022-04-20 20:18:49,68.3751,17.5988,47.05,93,12,3.02
93,Ancud,CL,2022-04-20 20:18:49,-41.8697,-73.8203,51.22,73,100,13.09
94,Lasa,IT,2022-04-20 20:18:50,46.6166,10.7002,49.08,94,79,2.08
95,Kahului,US,2022-04-20 20:18:50,20.8947,-156.47,82.42,61,40,17.27
96,Dhidhdhoo,MV,2022-04-20 20:18:51,6.8833,73.1,84.69,75,26,10.96
97,Tiksi,RU,2022-04-20 20:18:52,71.6872,128.8694,6.12,99,100,4.32
98,Jamestown,US,2022-04-20 20:18:52,42.097,-79.2353,53.53,33,0,4.61
99,Dikson,RU,2022-04-20 20:18:53,73.5069,80.5464,-1.05,100,91,8.95
100,Arrecife,ES,2022-04-20 20:15:44,28.963,-13.5477,64.38,68,75,24.16
101,Kapaa,US,2022-04-20 20:18:54,22.0752,-159.319,78.78,78,0,17.27
102,Opuwo,NA,2022-04-20 20:18:54,-18.0607,13.84,68.74,34,98,7.7
103,Ashland,US,2022-04-20 20:14:09,40.8167,-82.2665,55.94,40,100,8.05
104,Broome,US,2022-04-20 20:18:55,42.2506,-75.833,54.7,46,0,9.22
105,Miri,MY,2022-04-20 20:18:56,4.4148,114.0089,76.95,93,100,4.41
106,Turan,VN,2022-04-20 20:15:54,16.0678,108.2208,71.58,88,20,0.0
107,Ginda,IN,2022-04-20 20:18:57,30.6945,78.4932,61.75,30,100,7.27
108,Shelburne,CA,2022-04-20 20:18:58,44.0787,-80.2041,47.91,63,35,6.24
109,Qaanaaq,GL,2022-04-20 20:15:19,77.484,-69.3632,-0.17,77,100,8.32
110,Alexandria,EG,2022-04-20 20:17:18,31.2156,29.9553,61.21,70,0,8.21
111,Itabaiana,BR,2022-04-20 20:18:59,-10.685,-37.4253,80.71,63,38,11.88
112,Abu Dhabi,AE,2022-04-20 20:15:08,24.4667,54.3667,75.96,81,0,3.44
113,Hofn,IS,2022-04-20 20:19:00,64.2539,-15.2082,45.55,96,100,11.05
114,Usinsk,RU,2022-04-20 20:19:01,65.9939,57.5281,15.55,87,99,11.5
115,Dingle,PH,2022-04-20 20:19:01,10.9995,122.6711,76.48,90,16,6.51
116,Camopi,GF,2022-04-20 20:19:02,3.1655,-52.3158,78.93,96,100,3.29
117,Sistranda,NO,2022-04-20 20:19:03,63.7256,8.834,44.56,80,0,8.63
118,Longyearbyen,SJ,2022-04-20 20:19:04,78.2186,15.6401,28.24,69,75,19.57
119,Bengkulu,ID,2022-04-20 20:19:04,-3.8004,102.2655,75.85,90,100,9.1
120,Boende,CD,2022-04-20 20:19:05,-0.2167,20.8667,70.84,98,100,1.61
121,Malaia,RO,2022-04-20 20:19:06,45.35,24.0333,44.31,96,71,4.56
