City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Purbalingga,ID,75.78,overcast clouds,-7.3881,109.3639,SPOT ON 2106 Residence Flamboyan
623,Liling,CN,72.54,overcast clouds,27.6667,113.5,Shangri-La Hotel
624,Buala,SB,83.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
627,Marysville,US,73.04,clear sky,48.0518,-122.1771,"Holiday Inn Express & Suites Marysville, an IHG Hotel"
628,Itaqui,BR,72.66,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
630,Semnan,IR,78.64,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
633,Kawalu,ID,72.9,overcast clouds,-7.3817,108.2082,West Jontor
637,Nishihara,JP,78.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
638,Davidson,US,81.36,scattered clouds,36.1501,-86.7833,Best Western Plus Music Row
646,Del Rio,US,89.62,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
651,Thibodaux,US,82.98,broken clouds,29.7958,-90.8229,Hampton Inn & Suites Thibodaux
652,Takoradi,GH,80.13,overcast clouds,4.8845,-1.7554,Raybow International Hotel
654,Utete,TZ,72.79,overcast clouds,-7.986,38.758,River View Lodge
657,Jiaocheng,CN,74.61,few clouds,24.6774,116.1389,Changtan Tourism Resort
658,Naze,JP,72.52,clear sky,28.3667,129.4833,Shishime Hotel
659,Barinas,VE,83.44,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
662,Chimore,BO,75.61,overcast clouds,-16.9833,-65.1333,Bichito
663,Manggar,ID,81.27,overcast clouds,-2.8833,108.2667,Guest Hotel
664,Gharghoda,IN,80.42,clear sky,22.1667,83.35,Gokul Naik
667,Amahai,ID,81.32,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
673,Bowen,AU,77.14,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
674,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
675,Garissa,KE,80.74,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
677,Namibe,AO,71.56,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
680,Bonthe,SL,75.56,moderate rain,7.5264,-12.505,Bonthe Holiday Village
682,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
685,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
687,Robertsport,LR,75.13,heavy intensity rain,6.7533,-11.3686,Kwepunha Retreat
688,Pereira Barreto,BR,76.86,broken clouds,-20.6383,-51.1092,Hotel Pousada Pantal
